municipio,censo_elec,votos_emitidos,validos,coal_derechas,frente_popular,falange,otros
allande,3845,2325,2308,1944,364,0,0
aller,12514,10094,10079,5517,4560,2,0
amieva,1428,827,805,540,265,0,0
aviles,10342,8251,8204,4187,4012,3,2
belmonte de miranda,4354,2691,2689,1429,1259,1,0
bimenes,2005,1584,1583,203,1379,1,0
boal,3584,1922,1921,1179,736,6,0
cabrales,2493,1748,1739,730,1009,0,0
cabranes,2116,1477,1474,906,561,7,0
candamo,2963,2178,2177,1012,1165,0,0
cangas del narcea,8864,4763,4756,2399,2357,0,0
cangas de onis,5619,3812,3802,1914,1886,0,2
caravia,691,436,436,369,63,4,0
carreno,5740,4299,4296,2325,1968,3,0
caso,2867,2105,2104,877,1224,1,2
castrillon,4240,3269,3266,1808,1458,0,0
castropol,4189,2667,2665,1972,693,0,0
coana,2839,1931,1929,1538,388,3,0
colunga,4754,3360,3360,2748,606,6,0
corvera de asturias,2301,1641,1638,763,875,0,0
cudillero,6363,4422,4384,3008,1367,9,0
degana,733,419,342,113,229,0,0
el franco,2857,1796,1794,1541,253,0,0
gijon,42341,34463,34338,12272,21932,112,22
gozon,5465,3963,3957,2336,1619,0,2
grado,10486,7163,7134,3051,4079,4,0
grandas de salime,1589,1199,1199,1058,140,1,0
ibias,3889,1980,1980,544,1430,6,0
illano,779,480,478,472,6,0,0
illas,1049,756,756,592,164,0,0
langreo,19830,17179,17024,3381,13638,5,0
laviana,5947,4808,4767,1122,3645,0,0
lena,8480,6332,6310,3029,3279,2,0
valdes,12846,8770,8685,5319,3362,4,0
llanera,4632,3631,3631,1650,1974,7,0
llanes,12854,9449,9413,5413,3995,5,0
mieres,26087,22330,22242,4765,17468,9,0
morcin,1849,1463,1462,629,833,0,0
muros de nalon,1844,1453,1451,832,618,1,0
nava,4187,2892,2889,1632,1250,1,6
navia,4220,3151,3151,2498,650,3,0
norena,1461,1102,1100,729,368,3,0
onis,1046,838,838,376,462,0,0
oviedo,41002,33166,32989,13164,19773,52,0
parres,5125,3451,3451,1875,1576,0,0
penamellera alta,1260,947,946,796,146,0,4
penamellera baja,1929,1440,1435,1056,379,0,0
pesoz,552,506,506,496,10,0,0
pilona,10240,7644,7623,3922,3679,22,0
ponga,1983,1070,1068,668,400,0,0
pravia,6970,5186,5175,3076,2064,35,0
proaza,1939,1329,1329,651,678,0,0
quiros,3200,2345,2344,932,1412,0,0
las regueras,2503,1832,1824,621,1203,0,0
ribadedeva,1559,1184,1178,516,661,1,0
ribadesella,4413,3419,3410,1351,2056,3,0
ribera de arriba,1235,859,859,170,689,0,0
riosa,1146,888,888,205,683,0,0
salas,8458,5572,5564,3341,2222,1,0
san martin del rey aurelio,8057,6851,6823,1663,5160,0,0
san martin de oscos,855,534,534,486,38,10,0
santa eulalia de oscos,770,561,560,501,59,0,0
san tirso de abres,929,579,531,399,130,2,0
santo adriano,760,607,607,254,353,0,0
sariego,862,602,602,447,155,0,0
siero,16890,12845,12845,5399,7442,4,0
sobrescobio,948,746,740,389,351,0,0
somiedo,3343,1949,1948,1353,595,0,0
soto del barco,3119,2448,2448,1188,1260,0,0
tapia de casariego,2869,1956,1950,1696,253,1,0
taramundi,1506,770,769,514,255,0,0
teverga,2971,2252,2248,1372,875,1,0
tineo,10351,6315,6314,3297,3014,3,0
vegadeo,3364,2096,1942,1351,589,2,0
villanueva de oscos,666,340,340,306,34,0,0
villaviciosa,12586,8511,8478,5610,2856,12,0
villayon,1891,988,988,868,120,0,0
yernes y tameza,443,363,363,294,69,0,0
