"municipio","provincia","fecha","socios","muni_code"
"pasaia","guipuzkoa",1931,1608,20064
"gurrea de gallego","huesca",1931,160,22119
"riotorto","lugo",1906,553,27054
"valtierra","navarra",1931,120,31249
NA,"ourense",1915,56,NA
"vila-seca","tarragona",1924,347,43171
"baguena","teruel",1931,130,44033
"baguena","teruel",1931,65,44033
"ateca","zaragoza",1931,195,50038
"vitoria-gasteiz","alava",1900,75,1059
"vitoria-gasteiz","alava",1930,23,1059
"barcelona","barcelona",1895,279,8019
"barcelona","barcelona",1930,45,8019
"barcelona","barcelona",1898,350,8019
"mataro","barcelona",1921,50,8121
"donostia - san sebastian","gipuzkoa",1902,151,20069
"tolosa","gipuzkoa",1925,10,20071
"lleida","lleida",1926,64,25120
"lugo","lugo",1928,35,27028
"cortes","navarra",1929,87,31078
"pamplona / iruna","navarra",1929,48,31201
"pamplona / iruna","navarra",1910,56,31201
"pamplona / iruna","navarra",1926,46,31201
"pamplona / iruna","navarra",1926,21,31201
"tudela","navarra",1926,43,31232
"ourense","ourense",1905,34,32054
"aviles","asturias",1911,24,33004
"oviedo","asturias",1924,118,33044
"oviedo","asturias",1919,45,33044
"oviedo","asturias",1919,48,33044
"reus","tarragona",1921,29,43123
"reus","tarragona",1921,59,43123
"bilbao","bizkaia",1931,252,48020
"bilbao","bizkaia",1931,75,48020
"bilbao","bizkaia",1920,700,48020
"bilbao","bizkaia",1929,50,48020
"bilbao","bizkaia",1920,224,48020
"bilbao","bizkaia",1928,50,48020
"portugalete","bizkaia",1920,170,48078
"muskiz","bizkaia",1920,75,48071
"luceni","zaragoza",1929,151,50147
"zaragoza","zaragoza",1924,30,50297
"zaragoza","zaragoza",1924,301,50297
"zaragoza","zaragoza",1930,73,50297
"zaragoza","zaragoza",1929,355,50297
"zaragoza","zaragoza",1924,107,50297
"lugo","lugo",1930,604,27028
"puente nuevo","lugo",1930,90,27500
"mieres","asturias",1920,16,33037
"aller","asturias",1920,55,33002
"aller","asturias",1918,163,33002
"mieres","asturias",1918,190,33037
"lena","asturias",1918,31,33033
